title,artist
Lovin On Me,Jack Harlow
3D (Justin Timberlake Remix),Jung Kook & Justin Timberlake
Lil Boo Thang,Paul Russell
DJ Play A Christmas Song,Cher
White Horse,Chris Stapleton
All I Want for Christmas Is You,Mariah Carey
Save Me (with Lainey Wilson),Jelly Roll
Christmas / Sarajevo 12/24 (Instrumental),Trans-Siberian Orchestra
I Remember Everything (feat. Kacey Musgraves),Zach Bryan
Wrap Me Up,Jimmy Fallon & Meghan Trainor
Rockin' Around the Christmas Tree (Single),Brenda Lee
Houdini,Dua Lipa
Need A Favor,Jelly Roll
Lose Control,Teddy Swims
Paint The Town Red,Doja Cat
Thinkin’ Bout Me,Morgan Wallen
Cruel Summer,Taylor Swift
Water,Tyla
greedy,Tate McRae
Where the Wild Things Are,Luke Combs
The Christmas Song (Merry Christmas to You),"Nat ""King"" Cole"
Snowman,Sia
Standing Next to You,Jung Kook
Fast Car,Luke Combs
Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
3D,Jung Kook & Jack Harlow
Last Christmas (Single Version),Wham!
Now And Then,The Beatles
White Christmas,Bing Crosby
Last Night,Morgan Wallen
Wizards in Winter (Instrumental),Trans-Siberian Orchestra
Ain't Nobody,Chaka Khan
Underneath the Tree,Kelly Clarkson
Christmas Tree Farm,Taylor Swift
BATTER UP,BABYMONSTER
Fairytale Of Philadelphia,"The Philly Specials, Jason Kelce & Travis Kelce"
Daylight,David Kushner
Nights in White Satin (Single Edit),"The Moody Blues, London Festival Orchestra & Peter Knight"
Fancy Like Christmas,Walker Hayes
Merry Christmas,Ed Sheeran & Elton John
The Chipmunk Song (Christmas Don't Be Late),Alvin & The Chipmunks
Used To Be Young,Miley Cyrus
Standing Next to You (Band Version),Jung Kook
Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes),Olivia Rodrigo
MONACO,Bad Bunny
You Make It Feel Like Christmas (feat. Blake Shelton),Gwen Stefani
Standing Next to You (Future Funk Remix),Jung Kook
Standing Next to You (Holiday Remix),Jung Kook
Standing Next to You (Slow Jam Remix),Jung Kook
Cult of Personality (Remastered 2023),Living Colour
90s Rap Mashup,Austin Williams
Better Place (From TROLLS Band Together),*NSYNC & Justin Timberlake
Standing Next to You (PBR&B Remix),Jung Kook
It's Beginning To Look a Lot Like Christmas,Michael Bublé
A Mad Russian's Christmas (Instrumental),Trans-Siberian Orchestra
Watermelon Moonshine,Lainey Wilson
Rich Men North of Richmond,Oliver Anthony Music
That Spirit of Christmas (Remastered),Ray Charles
Lover,Taylor Swift
Standing Next to You (Latin Trap Remix),Jung Kook
Flowers,Miley Cyrus
Wild Ones (Extended Version),Jessie Murph & Jelly Roll
This Wish,Ariana DeBose & Disney
Tennessee Whiskey,Chris Stapleton
Anti-Hero,Taylor Swift
Candy Cane Lane,Sia
Son Of A Sinner,Jelly Roll
Standing Next to You (Instrumental),Jung Kook
Feliz Navidad,José Feliciano
Save Me,Jelly Roll
Christmas Canon Rock,Trans-Siberian Orchestra
Something in the Orange (Z&E's Version),Zach Bryan
A Lot More Free,Max McNown
Santa Tell Me,Ariana Grande
...Ready For It?,Taylor Swift
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
To Be A Man (feat. Darius Rucker),Dax
Calm Down,Rema & Selena Gomez
Through the Fire,Chaka Khan
In My Life,The Beatles
TRUCK BED,HARDY
Dance The Night,Dua Lipa
"Mary, Did You Know?",Pentatonix
Karma,Taylor Swift
vampire,Olivia Rodrigo
Gratitude,Brandon Lake
Wondering Why,The Red Clay Strays
"Mary, Did You Know?",CeeLo Green
I Speak Jesus (feat. Steven Musso),Charity Gayle
Good Good,"USHER, Summer Walker & 21 Savage"
Tambourine,Eve
Surround Sound (feat. 21 Savage & Baby Tate),JID
The Painter,Cody Johnson
exes,Tate McRae
Agora Hills,Doja Cat
The New Thing Dies,Ray Bull
Jingle Bells,Frank Sinatra
You're a Mean One Mr. Grinch,Thurl Ravenscroft
World on Fire,Nate Smith
Snooze,SZA
I Remember Everything,Zach Bryan Featuring Kacey Musgraves
Greedy,Tate McRae
Thinkin' Bout Me,Morgan Wallen
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA
All I Want For Christmas Is You,Mariah Carey
Fukumean,Gunna
Save Me,Jelly Roll With Lainey Wilson
Vampire,Olivia Rodrigo
Monaco,Bad Bunny
First Person Shooter,Drake Featuring J. Cole
IDGAF,Drake Featuring Yeat
What Was I Made For?,Billie Eilish
Good Good,"Usher, Summer Walker & 21 Savage"
My Love Mine All Mine,Mitski
Stick Season,Noah Kahan
Last Christmas,Wham!
Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift
Dial Drunk,Noah Kahan With Post Malone
What It Is (Block Boy),Doechii Featuring Kodak Black
Kill Bill,SZA
Northern Attitude,Noah Kahan With Hozier
Jingle Bell Rock,Bobby Helms
Harley Quinn,Fuerza Regida & Marshmello
I Know ?,Travis Scott
Wild Ones,Jessie Murph & Jelly Roll
A Holly Jolly Christmas,Burl Ives
Barbie World,Nicki Minaj & Ice Spice With Aqua
Pretty Little Poison,Warren Zeiders
World On Fire,Nate Smith
On My Mama,Victoria Monet
Slut! (Taylor's Version) [From The Vault],Taylor Swift
Standing Next To You,Jung Kook
500lbs,Lil Tecca
Strangers,Kenya Grace
Say Don't Go (Taylor's Version) [From The Vault],Taylor Swift
Bad Idea Right?,Olivia Rodrigo
Great Gatsby,Rod Wave
Get Him Back!,Olivia Rodrigo
Can't Have Mine,Dylan Scott
Virginia Beach,Drake
Everything I Love,Morgan Wallen
Standing Room Only,Tim McGraw
Try That In A Small Town,Jason Aldean
Cobra,Megan Thee Stallion
Truck Bed,HARDY
Qlona,Karol G & Peso Pluma
Too Much,"The Kid LAROI, Jung Kook & Central Cee"
Perro Negro,Bad Bunny & Feid
Hey Driver,Zach Bryan Featuring The War And Treaty
Style (Taylor's Version),Taylor Swift
Rich Men North Of Richmond,Oliver Anthony Music
Meltdown,Travis Scott Featuring Drake
Bongos,Cardi B & Megan Thee Stallion
Slime You Out,Drake Featuring SZA
Segun Quien,Maluma & Carin Leon
Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
Single Soon,Selena Gomez
Burn It Down,Parker McCollum
LaLa,Myke Towers
Bad Blood (Taylor's Version),Taylor Swift
Can't Catch Me Now,Olivia Rodrigo
Turks & Caicos,Rod Wave Featuring 21 Savage
SkeeYee,Sexyy Red
Out Of The Woods (Taylor's Version),Taylor Swift
Wildest Dreams (Taylor's Version),Taylor Swift
El Amor de Su Vida,Grupo Frontera & Grupo Firme
Save Me The Trouble,Dan + Shay
Stars Like Confetti,Dustin Lynch
LALALALA,Stray Kids
Seven,Jung Kook Featuring Latto
Suburban Legends (Taylor's Version) [From The Vault],Taylor Swift
Blank Space (Taylor's Version),Taylor Swift
We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton
Smurk Carter,Lil Durk
Mi Ex Tenia Razon,Karol G
Different 'Round Here,Riley Green Featuring Luke Combs
But I Got A Beer In My Hand,Luke Bryan
Better Than Ever,YoungBoy Never Broke Again & Rod Wave
Soak City (Do It),310babii
